ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:qzone	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Qzone	89	1982	965	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:rackspace_cloudfiles	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Rackspace CloudFiles	90	532	224	1697
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:rackspace_cloudserver	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Rackspace CloudServer	52	2713	1889	2667
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:simplecdn	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	SimpleCDN	97	964	441	2520
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:twitter	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Twitter	87	1012	791	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:yacast	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Yacast	24		278	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:yahoo	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Yahoo	99	964	479	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:youtube	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	YouTube	84	763	423	
ae:emirates_internet:aol	AE	Emirates Internet	AOL	93	1316	529	
ae:emirates_internet:akamai	AE	Emirates Internet	Akamai	96	843	561	2901
ae:emirates_internet:amazon_ec2_eu	AE	Emirates Internet	Amazon EC2 (EU)	93	1241	620	3230
ae:emirates_internet:amazon_ec2_us	AE	Emirates Internet	Amazon EC2 (US)	94	1101	563	2826
ae:emirates_internet:amazon_s3_eu	AE	Emirates Internet	Amazon S3 (EU)	91	1260	640	3608
ae:emirates_internet:amazon_s3_us	AE	Emirates Internet	Amazon S3 (US)	93	1385	601	3438
ae:emirates_internet:bing	AE	Emirates Internet	Bing	98	833	616	
ae:emirates_internet:bitgravity	AE	Emirates Internet	BitGravity	72	1005	552	
ae:emirates_internet:cdnetworks	AE	Emirates Internet	CDNetworks	95	1108	398	657
ae:emirates_internet:cachefly	AE	Emirates Internet	CacheFly	95	1464	620	1124
ae:emirates_internet:chinacache	AE	Emirates Internet	ChinaCache	95	1366	584	2414
ae:emirates_internet:cloudfront	AE	Emirates Internet	Cloudfront	95	1178	387	1734
ae:emirates_internet:cotendo	AE	Emirates Internet	Cotendo	96	932	643	2092
ae:emirates_internet:edgecast	AE	Emirates Internet	Edgecast	97	698	368	2019
ae:emirates_internet:facebook	AE	Emirates Internet	Facebook	78	650	461	
ae:emirates_internet:gogrid	AE	Emirates Internet	GoGrid	95	1135	542	3171
ae:emirates_internet:google_app_engine	AE	Emirates Internet	Google App Engine	94	962	654	944
ae:emirates_internet:highwinds	AE	Emirates Internet	Highwinds	91	739	847	2173
ae:emirates_internet:internap	AE	Emirates Internet	Internap	94	1348	640	2810
