key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper
Star-Gazette			Bush									NY	Elmira	Star-Gazette
Journal and Courier			Bush									IN	Lafayette	Journal and Courier
Herald-Journal			Bush									SC	Spartanburg	Herald-Journal
Daily Breeze	Obama	Bush										CA	Torrance	Daily Breeze
El Paso Times			Bush									TX	El Paso	El Paso Times
News-Times			Gore									CT	Danbury	News-Times
Denver Post	Obama	Bush	Gore	Clinton								CO	Denver	Denver Post
Indianapolis Star		Bush	Bush									IN	Indianapolis	Indianapolis Star
Daily News (Los Angeles)	Obama	Kerry	Bush									CA	Los Angeles	Daily News (Los Angeles)
Detroit News	McCain	N/A	Bush	Dole								MI	Detroit	Detroit News
Florida Today	Obama		Gore	Clinton								FL	Melbourne	Florida Today
Springfield News-Leader			Gore									MO	Springfield	Springfield News-Leader
Baltimore Examiner	McCain	none										MD	Baltimore	Baltimore Examiner
St. Paul Pioneer-Press		Bush										MN	St. Paul	St. Paul Pioneer-Press
Jamestown Sun				Clinton								ND	Jamestown	Jamestown Sun
Sapulpa Daily Herald				Dole								OK	Sapulpa	Sapulpa Daily Herald
St. Louis Post-Dispatch	Obama	Kerry	Gore	Clinton								MO	St. Louis	St. Louis Post-Dispatch
Merced Sun Star	Obama	Kerry										CA	Merced	Merced Sun Star
Huntsville Times			Gore									AL	Huntsville	Huntsville Times
Newton Kansan				Dole								KS	Newton	Newton Kansan
Bend Bulletin	McCain	Bush										OR	Bend	Bend Bulletin
Staten Island Advance			Gore									NY	Staten Island	Staten Island Advance
New Haven Register	Obama	Bush	Bush	Dole								CT	New Haven	New Haven Register
Corvallis Gazette-Times	Obama		Gore									OR	Corvallis	Corvallis Gazette-Times
Louisville Courier-Journal	Obama	Kerry		Clinton								KY	Louisville	Louisville Courier-Journal
Middletown Journal	Obama											OH	Middletown	Middletown Journal
Tribune			Bush									FL	Fort Pierce	Tribune
Vindicator			Bush									OH	Youngstown	Vindicator
Pittsburgh Morning Sun				Dole								KS	Pittsburgh	Pittsburgh Morning Sun
Kingston Daily Freeman				Clinton								NY	Kingston	Kingston Daily Freeman
San Antonio Express-News	McCain	Bush	Bush	Dole								TX	San Antonio	San Antonio Express-News
Iola Register				Dole								KS	Iola	Iola Register
