2007 Pop	2000 Pop	Rank	"%Pop Chg 
2000-2007"	"Pop
%Chg/yr"	"05 Pop
at or above"	"%05 Pop
at or above"	State	Metropolitan Statistical Area	Nickname(s)	Combined Statistical Area	US Population:	"305,186,613"
88397	49832	413	77.39%	11.06%	250880657	82.2%	FL	"Palm Coast, FL MSA"		"Orlando-Deltona-Daytona Beach, FL CSA"
88015	91070	414	-3.35%	-0.48%	250968672	82.2%	NY	"Elmira, NY MSA"		
87609	83103	418	5.42%	0.77%	251056281	82.3%	ID	"Pocatello, ID MSA"		
86353	81607	421	5.82%	0.83%	251142634	82.3%	WY	"Cheyenne, WY MSA"	Laramie County	
84752	79981	425	5.97%	0.85%	251227386	82.3%	IA	"Ames, IA MSA"		"Ames-Boone, IA CSA"
81775	80357	434	1.76%	0.25%	251309161	82.3%	MT	"Great Falls, MT MSA"	Cascade County	
81428	78153	436	4.19%	0.60%	251390589	82.4%	OR	"Corvallis, OR MSA"	Benton County	"Albany-Corvallis-Lebanon, OR CSA"
81191	83919	438	-3.25%	-0.46%	251471780	82.4%	IL	"Danville, IL MSA"		
77323	79551	453	-2.80%	-0.40%	251549103	82.4%	OH	"Sandusky, OH MSA"		
74750	71435	462	4.64%	0.66%	251623853	82.4%	IN	"Columbus, IN MSA"		"Indianapolis-Anderson-Columbus, IN CSA"
71803	71914	473	-0.15%	-0.02%	251695656	82.5%	GA	"Hinesville-Fort Stewart, GA MSA"		"Savannah-Hinesville-Fort Stewart, GA CSA"
71750	66533	475	7.84%	1.12%	251767406	82.5%	WY	"Casper, WY MSA"	Natrona County	
60043	57961	532	3.59%	0.51%	251827449	82.5%	ID-WA	"Lewiston, ID-WA MSA"		
54939	52457	567	4.73%	0.68%	251882388	82.5%	NV	"Carson City, NV MSA"	Carson City	
