===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
West Virginia	26	26	-	-	-	Martinsburg	
Maryland	12.08	12.08	-	-	-	Hagerstown	
Pennsylvania	232.63	232.63	-	-	-	Chambersburg, Shippensburg, Carlisle, Harrisburg, Frackville, Mahanoy City, Hazelton, Wilkes-Barre, Scranton	
New York	183.6	183.6	-	-	-	Binghampton, Cortland, Syracuse, Watertown	
TOTAL	854.89	854.89					
I-82	Washington	132.57	132.57	-	-	-	Ellensburg, Yakima, Toppenish, Sunnyside, Grandview, Richland, Kennewick
Oregon	11.01	11.01	-	-	-	Hermiston	
TOTAL	143.58	143.58					
I-83	Maryland	34.5	34.5	-	-	-	Baltimore
Pennsylvania	50.8	50.8	-	-	-	York, Harrisburg	
TOTAL	85.3	85.3					
I-84	Oregon	375.17	375.17	-	6.89	-	Portland, Hood River, The Dalles, Pendleton, La Grande, Baker, Ontario
Idaho	275.74	275.74	-	-	-	Caldwell, Napa, Boise, Mountain Home, Jerome, Twin Falls, Burley	
Utah	118.71	82.73	-	-	35.98 Mi on I-15	Brigham City, Ogden	
Pennsylvania	54.55	54.55	-	-	-	Scranton	
New York	71.79	71.79	-	-	-	Port Jervis, Middletown, Newburgh, Bacon	
Connecticut	97.9	97.9	-	-	-	Danbury, Waterbury, Bristol, New Britain, Hartford, Manchester, Vernon	
Massachusetts	8.15	8.15	-	-	-	None	
TOTAL	1002.01	966.03	-	6.89	35.98		
I-85	Alabama	80	80	-	-	-	Montgomery, Auburn, Opelika, Lanett
Georgia	179.9	171.9	-	-	8.00 Mi on I-75	LaGrange, Newnan, Atlanta	
S. Carolina	106.28	106.28	-	-	-	Anderson, Greenville, Spartanburg, Gaffney	
N. Carolina	233.93	195.42	-	-	38.51 on I-40	Gastonia, Charlotte, Kannapolis, Salisbury, Lexington, High Point, Greensboro, Burlington, Durham, Henderson	
Virginia	68.64	68.64	-	-	-	Petersburg	
TOTAL	668.75	622.24	-	-	46.51		
I-86	Idaho	62.85	62.85	-	-	-	American Falls, Pocatello
New York	176.57	176.57	-	176.57	-		
