
City  							Mileage		
Salinas, CA					864
Salisbury, MD					2,160
Salt Lake City, UT				79
Salt Lake City Airport, UT			83
Salt Lake City to Beaver, UT			210
Salt Lake City to Benjamin, UT			61
Salt Lake City to Bingham, UT			24
Salt Lake City to Bountiful, UT			10
Salt Lake City to Brigham City, UT		56
Salt Lake City to Castle Dale, UT		151
Salt Lake City to Cedar City, UT		264
Salt Lake City to Centerville, UT		12
Salt Lake City to Charleston, UT		54
Salt Lake City to Clearfield, UT		30
Salt Lake City to Coalville, UT			44
Salt Lake City to Copperton, UT			28
Salt Lake City to Delta, UT			138
Salt Lake City to Duchesne, UT			117
Salt Lake City to Farmington, UT		16
Salt Lake City to Fillmore, UT			150
Salt Lake City to Ft. Duchesne, UT		154
Salt Lake City to Granger, UT			9
Salt Lake City to Grantsville, UT		37
Salt Lake City to Heber City, UT		48
Salt Lake City to Junction, UT			208
Salt Lake City to Kanab, UT			306
Salt Lake City to Kaysville, UT			21
Salt Lake City to Kearns, UT			24
Salt Lake City to Lehi, UT			28
Salt Lake City to Loa, UT			198
Salt Lake City to Magna, UT			15
Salt Lake City to Manti, UT			122
Salt Lake City to Midvale, UT			12
Salt Lake City to Moab, UT			235
Salt Lake City to Monticello, UT		289
Salt Lake City to Morgan, UT			51
Salt Lake City to Murray, UT			10
Salt Lake City to Nephi, UT			88
Salt Lake City to Ogden, UT			35
Salt Lake City to Panguitch, UT			242
Salt Lake City to Price, UT			121
Salt Lake City to Provo, UT			44
Salt Lake City to Randolph, UT			112
Salt Lake City to Richfield, UT			163
Salt Lake City to Sandy, UT			14
Salt Lake City to St. George, UT		313
Salt Lake City to Springville, UT		47
Salt Lake City to Tooele, UT			33
Salt Lake City to Tremonton, UT			76
Salt Lake City to Vernal, UT			180
Salt Lake City to Woods Cross, UT		9
San Angelo, TX					1,176
San Antonio, TX					1,388
San Bernardino, CA				717
San Diego, CA					826
Sandusky, OH					1,661
Sandy, UT					92
San Francisco, CA				781
San Jose, CA					804
San Luis Obispo, CA				903
Santa Ana, CA					760
Santa Barbara, CA				850
Santa Clara, CA					806
Santa Fe, NM					687
Santa Maria, CA					898
Santaquin, UT					150
Santa Rosa, CA					788
Sarasota, FL					2,345
Saskatoon, SK, Canada				1,051
Sault Ste Marie, MI				1,715
Savanna, IL					1,270
Savannah, GA					2,095
Schenectady, NY					2,169
Scottsbluff, NB					534
Scranton, PA					2,068
Seaford, DE					2,144
Seattle, WA					778
Sedalia, MO					1,158
Selma, AL					1,825
Seminole, OK					1,171
Sheboygan, WI					1,437
Shelby, MT					579
Shelley, ID					136
Sherbrooke, Quebec, Canada			2,304
Sheridan, WY					537
Sherman, TX					1,268
Shreveport, LA					1,466
Sherwood Hills, UT				12
Sioux City, IA					963
Sioux Falls, SD					954
Smithfield, UT					7
Snowbird, UT					109
Snowmass, CO					459
Snowville, UT					61
Snowville, UT to Park Valley			213
Snyder, TX					1,079
South Davis Jr. High School, Bountiful, UT	72
Soda Springs, ID				80
Somerset, KY					1,705
Somerset, PA					1,896
Somerville, NJ					2,138
South Bend, IN					1,466
Spanish Fork, UT				136
Spartanburg, SC					1,961
Spencer, IA					1,039
Spokane, WA					648
Springerville, AZ				667
Springfield, IL					1,320
Springfield, MA					2,262
Springfield, MO					1,243
Springfield, OH					1,626
Springville, UT					131
Stamford, CT					2,195
State College, PA				1,937
Staunton, VA					2,006
Sterling, CO					557
Steubenville, OH				1,802
Stevens Point, WI				1,359
Stillwater, OK					1,122
Stockton, CA					734
Stockton, KS					819
Stroudsburg, PA					2,089
Suffern, NY					2,167
Sumpter, SC					2,091
Sun Valley, ID					271
Swainsboro, GA					2,009
Sweetwater, UT					54
Syracuse, NY					2,048

Tacoma, WA					790
Tahoe, Lake, (south shore) CA			616
Tallahassee, FL					2,063
Tampa, FL					2,301
Tawas City, MI					1,740
Taylorsville, UT				89
Teasdale, UT					294
Teasdale, UT to Richfield, UT			59
Tempe, AZ					740
Terre Haute, IN					1,457
The Dalles, OR					633
Thiokol, UT					50
Thistle, UT					146
Tiffin, OH					1,642
Toledo, OH					1,613
Tomah, WI					1,287
Tom's River, NJ					2,182
Tonapah, NJ					485
Tony Grove, UT					22
Tooele, UT					111
Tooele, UT to Ephraim, UT			141
Tooele, UT to Grantsville, UT			12
Topeka, KS					1,206
Toronto, Ontario, Canada			1,880
Torrington, CT					2,237
Towanda, PA					2,028
Tracy, CA					754
Traverse City, MI				1,689
Tremonton, UT					23
Tremonton, UT to Salt Lake City, UT		75
Trenton, NJ					2,147
Trenton, UT					18
Tribune, KS					740
Trinidad, CO					713
Tropic, UT to Escalante, UT			37
Troy, NY					2,185
Truro, Nova Scotia, Canada			2,901
Tucson, AZ					835
Tucumcari, NM					853
Tullahoma, TN					1,693
Tulsa, Ok					1,181
Tupelo, MS					1,635
Tuscaloose, AL					1,756
Twin Falls, ID					171
Tyler, TX					1,387

Uniontown, PA					1,862
University of Utah, Salt Lake City, UT		84
USU Campus to Adams School			1
USU Campus to Ellis School			3
USU Campus to Hillcrest School			1
USU Campus to North Logan			4
USU Campus to River Heights			3
USU Campus to Riverside School			2
USU Campus to Wilson School			1.5
USU Campus to Woodruff School			2
Ute Indian Youth Camp, Logan, UT		253
Utica, NY					2,095

Vail, CO					495
Valdosta, GA					2,074
Valentine, NB					727
Valley City, ND					1,031
Valparaiso, IN					1,425
Vancouver, British Columbia, Canada		910
Ventura, CA					824
Vernal, UT					260
Vernal, UT to Duchesne				59
Vernal, UT to Dutch John, UT			43
Vernal, UT to Heber City, UT			129
Vernal, UT to Manilla, UT			75
Vernal, UT to Nephi, UT				202
Vernal, UT to Provo, UT				157
Vernal, UT to Steamboat, CO			165
Vicksburg, MS					1,629
Victoria, British Columbia, Canada		878
Victoria, TX					1,496
Vincennis, IN					1,481
Virginia Beach, VA				2,208

Waco, TX					1,344
Walla Walla, WA					547
Warren, OH					1,759
Washington, DC					2,058
Washington, PA					1,825
Waterbury, CT					2,232
Waterloo, IA					1,170
Watertown, NY					2,101
Watertown, SD					998
Watertown, WI					1,383
Waukegan, IL					1,403
Wausau, WI					1,369
Waycross, GA					2,082
Weber State University, Ogden, UT		50
Weed, CA					774
Wellesley, MA					2,331
Wells, NV					216
Wellsboro, PA					1,977
Wellsville, NY					1,947
Wellsville, UT					8
Wenatchee, WA					698
Wendover					202
West Palm Beach, FL				2,431
West Plains, MO					1,352
West Yellowstone, MT (via Idaho Falls)		257
Wheeling, WV					1,796
Whitehorse, Yukon Territory			2,259
White Plains, NY				2,184
White River Junction, VT			2,285
Wichita, KS					1,018
Wichita Falls, TX				1,155
Wilkes - Barre, PA				2,052
Wilkesboro, NC					1,968
Willard, UT					33
Williamsburg, VA				2,153
Williamson, WV					1,824
Williamsport, PA				1,982
Willington, UT					207
Williston, ND					806
Willmar, MN					1,109
Willow Run, MI					1,621
Wilmington, DE					2,110
Wilmington, NC					2,213
Winchester, VA					1,987
Winnemucca, NV					391
Winston-Salem, NC				2,013
Winter Haven, FL				2,305
Wisconsin Dells, WI				1,330
Woods Cross, UT					72
Worcester, MA					2,307
Worthington, MN					1,016

Yakima, WA					637
Yankton, SD					936
York, PA					2,038
Youngstown, OH					1,775
Yuba City, CA					680
Yuma, AZ					786

Zanesville, OH					1,723
Zion National Park, UT				440

