id	freq	dec_entity	alpha_entity	scr_code	pl_name
576	0000000001	&#576;	&#576;	Latin	Latn
577	0000000004	&#577;	&#577;	Latin	Latn
578	0000000020	&#578;	&#578;	Latin	Latn
579	0000000006	&#579;	&#579;	Latin	Latn
580	0000000001	&#580;	&#580;	Latin	Latn
581	0000000001	&#581;	&#581;	Latin	Latn
582	0000000001	&#582;	&#582;	Latin	Latn
583	0000000003	&#583;	&#583;	Latin	Latn
584	0000000001	&#584;	&#584;	Latin	Latn
585	0000000002	&#585;	&#585;	Latin	Latn
586	0000000001	&#586;	&#586;	Latin	Latn
587	0000000002	&#587;	&#587;	Latin	Latn
588	0000000001	&#588;	&#588;	Latin	Latn
589	0000000001	&#589;	&#589;	Latin	Latn
591	0000000003	&#591;	&#591;	Latin	Latn
592	0000004296	&#592;	&#592;	(Phonetic)	_ipa
593	0000000030	&#593;	&#593;	(Phonetic)	_ipa
594	0000000028	&#594;	&#594;	(Phonetic)	_ipa
595	0000000030	&#595;	&#595;	(Phonetic)	_ipa
596	0000001425	&#596;	&#596;	(Phonetic)	_ipa
597	0000000002	&#597;	&#597;	(Phonetic)	_ipa
598	0000000002	&#598;	&#598;	(Phonetic)	_ipa
599	0000000002	&#599;	&#599;	(Phonetic)	_ipa
600	0000000011	&#600;	&#600;	(Phonetic)	_ipa
601	0000001378	&#601;	&#601;	(Phonetic)	_ipa
602	0000000006	&#602;	&#602;	(Phonetic)	_ipa
603	0000000052	&#603;	&#603;	(Phonetic)	_ipa
604	0000000012	&#604;	&#604;	(Phonetic)	_ipa
605	0000000002	&#605;	&#605;	(Phonetic)	_ipa
607	0000001144	&#607;	&#607;	(Phonetic)	_ipa
608	0000000001	&#608;	&#608;	(Phonetic)	_ipa
609	0000000004	&#609;	&#609;	(Phonetic)	_ipa
610	0000000001	&#610;	&#610;	(Phonetic)	_ipa
611	0000000005	&#611;	&#611;	(Phonetic)	_ipa
612	0000000001	&#612;	&#612;	(Phonetic)	_ipa
613	0000002761	&#613;	&#613;	(Phonetic)	_ipa
614	0000000001	&#614;	&#614;	(Phonetic)	_ipa
616	0000000005	&#616;	&#616;	(Phonetic)	_ipa
617	0000000006	&#617;	&#617;	(Phonetic)	_ipa
618	0000000116	&#618;	&#618;	(Phonetic)	_ipa
619	0000000001	&#619;	&#619;	(Phonetic)	_ipa
620	0000000001	&#620;	&#620;	(Phonetic)	_ipa
623	0000001554	&#623;	&#623;	(Phonetic)	_ipa
624	0000000004	&#624;	&#624;	(Phonetic)	_ipa
625	0000000001	&#625;	&#625;	(Phonetic)	_ipa
626	0000000006	&#626;	&#626;	(Phonetic)	_ipa
627	0000000007	&#627;	&#627;	(Phonetic)	_ipa
628	0000000002	&#628;	&#628;	(Phonetic)	_ipa
630	0000000004	&#630;	&#630;	(Phonetic)	_ipa
632	0000000002	&#632;	&#632;	(Phonetic)	_ipa
633	0000003043	&#633;	&#633;	(Phonetic)	_ipa
634	0000000002	&#634;	&#634;	(Phonetic)	_ipa
635	0000000001	&#635;	&#635;	(Phonetic)	_ipa
636	0000000005	&#636;	&#636;	(Phonetic)	_ipa
637	0000000001	&#637;	&#637;	(Phonetic)	_ipa
638	0000000181	&#638;	&#638;	(Phonetic)	_ipa
639	0000000014	&#639;	&#639;	(Phonetic)	_ipa
640	0000000017	&#640;	&#640;	(Phonetic)	_ipa
641	0000000010	&#641;	&#641;	(Phonetic)	_ipa
642	0000000007	&#642;	&#642;	(Phonetic)	_ipa
643	0000000065	&#643;	&#643;	(Phonetic)	_ipa
645	0000000006	&#645;	&#645;	(Phonetic)	_ipa
647	0000005505	&#647;	&#647;	(Phonetic)	_ipa
648	0000000001	&#648;	&#648;	(Phonetic)	_ipa
649	0000000019	&#649;	&#649;	(Phonetic)	_ipa
650	0000000031	&#650;	&#650;	(Phonetic)	_ipa
651	0000000002	&#651;	&#651;	(Phonetic)	_ipa
652	0000000722	&#652;	&#652;	(Phonetic)	_ipa
653	0000001891	&#653;	&#653;	(Phonetic)	_ipa
654	0000001623	&#654;	&#654;	(Phonetic)	_ipa
655	0000000004	&#655;	&#655;	(Phonetic)	_ipa
